XSC,XTE,XSL,XPH,XHE,XAG,XEN,XCI,XAD,XDR,YEA,CO2_LOW,CO2,CO2_HIGH,CO2_CE,N2O_LOW,N2O,N2O_HIGH,N2O_CE,CH4_LOW,CH4,CH4_HIGH,CH4_CE,POP_LOW,POP,POP_HIGH,GDP_LOW,GDP,GDP_HIGH,EMI_LOW,EMI,EMI_HIGH,NOE_LOW,NOE,NOE_HIGH,MEM_LOW,MEM,MEM_HIGH,TEM_LOW,TEM,TEM_HIGH,SEA_LOW,SEA,SEA_HIGH,OPH_LOW,OPH,OPH_HIGH,CON_LOW,CON,CON_HIGH,DAC_LOW,DAC,DAC_HIGH,DAN_LOW,DAN,DAN_HIGH,DAM_LOW,DAM,DAM_HIGH
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,2%,2070/01/01,4.6621102844582945,391.62288066770407,1481.709799013584,285.19807454550966,1623.6050537504093,120752.79028974821,451922.22331346315,87128.03986258639,159.89292098649625,6452.271850885794,23966.942454812917,4562.995296968518,9.687268528658032,10.440464596045093,11.19506500373159,-0.0037599481191871176,0.01529979950035476,0.03757124727801249,-4.051447815819861,27.116477565252218,67.75283671349442,3.812218506395584,7.527185600396479,16.285784130240764,66.10071871206166,345.39705587131897,767.045586980971,1.4457949559957173,2.172442731877556,3.216097391310139,40.678459704570386,59.99169621835413,106.97858923571033,7.877627293262421,7.938064683362862,8.001312364675373,435.659165502345,519.9560714608137,616.4226838363215,0.20329199478501786,2.467616507208459,9.267279306261432,70.75635529594055,1022.7371828374478,4077.8608430191425,1.6193798726589104,18.974980927933835,91.56453337228477
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,3%,2070/01/01,2.496417460186353,189.22554239822526,693.9076578467274,131.63095791173654,869.9714447866818,64697.23367488534,231697.7590130188,44555.93886214263,127.82080963624504,4911.566128782462,17433.403245451304,3250.4390633063254,9.687268528658032,10.440464596045093,11.19506500373159,-0.0037599481191871176,0.01529979950035476,0.03757124727801249,-4.051447815819861,27.116477565252218,67.75283671349442,3.812218506395584,7.527185600396479,16.285784130240764,66.10071871206166,345.39705587131897,767.045586980971,1.4457949559957173,2.172442731877556,3.216097391310139,40.678459704570386,59.99169621835413,106.97858923571033,7.877627293262421,7.938064683362862,8.001312364675373,435.659165502345,519.9560714608137,616.4226838363215,0.20329199478501786,2.467616507208459,9.267279306261432,70.75635529594055,1022.7371828374478,4077.8608430191425,1.6193798726589104,18.974980927933835,91.56453337228477
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,2%,2080/01/01,4.3221255671024945,452.63862497621756,1715.6888973319135,310.5520422689818,2679.258066165149,149812.2861782296,589214.6856808813,98255.98189995151,-35.02313420012446,8066.691652273113,31290.691758689005,5159.809669142856,9.700657559820037,10.693926104607575,11.729713031944742,-0.0030950883610147972,0.015000494870858638,0.036861994623297756,-6.3246961675652775,23.434578893240513,70.1066093207328,3.546529804671445,7.353679697087501,16.980451473587852,63.56992932166903,342.873055191245,789.5370087577946,1.4403885755658068,2.294420280335832,3.5508185238284358,46.24588716744117,69.8198375627938,130.8566218801296,7.847053084976183,7.92873918031656,8.009315341764571,426.1108580528756,533.0578576529406,669.7882363990668,0.3600875836122908,2.884897872252129,12.477544988024587,124.07319065134158,1157.56555949134,5228.479011738967,2.0518365371156517,17.780524223989804,96.92170005101157
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,3%,2080/01/01,2.4095093681941706,225.96384331539016,858.3177718303501,148.0522666002131,1735.2356698704139,82167.82348089776,318859.42327576055,51312.1146241329,-28.163154661137074,6204.497669270152,23286.405360260982,3671.4935664304408,9.700657559820037,10.693926104607575,11.729713031944742,-0.0030950883610147972,0.015000494870858638,0.036861994623297756,-6.3246961675652775,23.434578893240513,70.1066093207328,3.546529804671445,7.353679697087501,16.980451473587852,63.56992932166903,342.873055191245,789.5370087577946,1.4403885755658068,2.294420280335832,3.5508185238284358,46.24588716744117,69.8198375627938,130.8566218801296,7.847053084976183,7.92873918031656,8.009315341764571,426.1108580528756,533.0578576529406,669.7882363990668,0.3600875836122908,2.884897872252129,12.477544988024587,124.07319065134158,1157.56555949134,5228.479011738967,2.0518365371156517,17.780524223989804,96.92170005101157
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,2%,2090/01/01,4.943399480451206,563.0848893925298,2417.09612158417,332.77337735669596,2902.609415421897,181840.48029825074,763291.2976192377,108313.93018675987,99.2668661348784,10683.27095516619,46907.53725360254,5958.352239057223,9.634026790209248,10.893958293705943,12.209911471457945,-0.002718191383496227,0.014596367772213847,0.03699173919053722,-7.997799048759274,20.17915402703695,71.31102773746072,3.310808708729019,7.163226875913096,17.612045083040687,65.43250396661462,340.5082718892955,808.2765721000718,1.4350118086949417,2.4182156523126017,3.8846416744145205,51.3155007503066,82.44698742873047,156.84637760977876,7.817741949931603,7.921583187555992,8.017226060585873,417.02038718143376,543.2614425527477,725.7159902050993,0.49647978748389787,3.4085467511849217,16.70427724844475,168.51085873027017,1278.393175305307,6661.123794131498,2.1147093770401812,18.297219456279826,117.75421011654785
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,3%,2090/01/01,2.8053923761001474,291.2881089789382,1173.3389372574857,160.9876735421482,1765.4701658391598,102861.59803297518,406885.4514020919,57454.131072581054,80.40288197326886,8321.757367446398,35122.967300765245,4212.044652555819,9.634026790209248,10.893958293705943,12.209911471457945,-0.002718191383496227,0.014596367772213847,0.03699173919053722,-7.997799048759274,20.17915402703695,71.31102773746072,3.310808708729019,7.163226875913096,17.612045083040687,65.43250396661462,340.5082718892955,808.2765721000718,1.4350118086949417,2.4182156523126017,3.8846416744145205,51.3155007503066,82.44698742873047,156.84637760977876,7.817741949931603,7.921583187555992,8.017226060585873,417.02038718143376,543.2614425527477,725.7159902050993,0.49647978748389787,3.4085467511849217,16.70427724844475,168.51085873027017,1278.393175305307,6661.123794131498,2.1147093770401812,18.297219456279826,117.75421011654785
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,2%,2100/01/01,8.341663318065164,678.9231483001715,2941.890010740384,354.5631660647297,2485.9422413133793,226538.3798508797,1036139.1590398891,112966.55033946109,248.83660715773286,13812.800520980178,67049.49883787811,6674.099332075268,9.470327611968754,11.041806324038294,12.71316949397224,-0.002436603287073069,0.014811229112970947,0.037322080041004124,-10.08445710947907,17.498912769937395,71.58356361680177,3.0354288118936306,6.9883827154660825,18.368680805359894,61.85431882424013,337.044716649578,831.6769070702236,1.429225760081229,2.5316859269216114,4.206023141886959,56.119286982458775,97.72939707580986,183.22453016704384,7.78889224951549,7.9158065843433265,8.025765846074524,407.3675477944611,551.7037449803083,784.1871987635524,0.5880832659868256,3.938692113783268,22.077984761725347,185.8850113255604,1406.669024211969,8408.021333666042,2.2648157180404245,19.721337088998794,147.25746852453273
RFF-SPs,FAIR,BRICK,Fung,,,,,DICE,3%,2100/01/01,4.7761071255336764,367.3951555160583,1529.1334865769413,174.79560839890814,1802.7278759123974,131848.77544425588,565326.5469417447,59565.168016881405,212.54607217955086,10999.623825467295,50361.83430987002,4681.63591178072,9.470327611968754,11.041806324038294,12.71316949397224,-0.002436603287073069,0.014811229112970947,0.037322080041004124,-10.08445710947907,17.498912769937395,71.58356361680177,3.0354288118936306,6.9883827154660825,18.368680805359894,61.85431882424013,337.044716649578,831.6769070702236,1.429225760081229,2.5316859269216114,4.206023141886959,56.119286982458775,97.72939707580986,183.22453016704384,7.78889224951549,7.9158065843433265,8.025765846074524,407.3675477944611,551.7037449803083,784.1871987635524,0.5880832659868256,3.938692113783268,22.077984761725347,185.8850113255604,1406.669024211969,8408.021333666042,2.2648157180404245,19.721337088998794,147.25746852453273
RFF-SPs,FAIR,BRICK,Fung,,,,,Howard & Sterner,2%,2020/01/01,45.04566011450966,204.8588311077099,563.8650422059478,204.32820454589555,13511.501974844236,57594.27731338114,156665.7802040888,57295.87020483405,611.4917974620321,2166.250124578557,5354.335659186808,2156.613880453756,7.752698916000002,7.752698916000002,7.752698916000002,,,,40.63829392333337,40.63829392333337,40.63829392333337,7.205451799,7.205451799,7.205451799,388.0905727,388.0905727,388.0905727,1.0054382430761906,1.2907815300250145,1.5601962756265773,13.59928995707751,26.812549592153,38.753789424615135,8.022791543162459,8.02405682446518,8.025206871475998,411.30694620260897,412.7954838422043,414.4565687544357,0,0,0,-18.58719126356552,9.372542025453024,46.13723570827303,-7.6093592697767125,3.900726654169916,18.951956906255703
RFF-SPs,FAIR,BRICK,Fung,,,,,Howard & Sterner,3%,2020/01/01,17.099940229039536,79.6621942393813,226.57055659306465,79.51598033591412,6083.051415568536,26014.594262658487,71052.17912913628,25888.01304167806,438.447068358408,1477.9496139908374,3419.6862577520037,1470.7678614756433,7.752698916000002,7.752698916000002,7.752698916000002,,,,40.63829392333337,40.63829392333337,40.63829392333337,7.205451799,7.205451799,7.205451799,388.0905727,388.0905727,388.0905727,1.0054382430761906,1.2907815300250145,1.5601962756265773,13.59928995707751,26.812549592153,38.753789424615135,8.022791543162459,8.02405682446518,8.025206871475998,411.30694620260897,412.7954838422043,414.4565687544357,0,0,0,-18.58719126356552,9.372542025453024,46.13723570827303,-7.6093592697767125,3.900726654169916,18.951956906255703
